Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
651026.68,4766188.13,-280.58,5,0.36,0.06,34.7,3.2,0,5250,0,0,0,9750,0,0,0,0,15000
651028.28,4766188.32,-284.24,5,0.28,0.04,20.6,3.9,0,3500,0,0,0,6500,0,0,0,0,10000
651029.08,4766188.41,-286.07,5,0.3,0.05,42.8,4.2,0,6000,0,0,0,13000,0,1000,0,0,20000
651054.68,4766191.34,-344.65,5,0.16,0.03,29.5,3,0,3500,0,0,0,6500,0,0,0,0,10000
650981.58,4766183.39,-178.17,5,0.3,0.11,31.7,3.3,0,6000,0,0,0,13200,0,800,0,0,20000
651024.28,4766187.86,-275.09,5,0.2,0.02,68.1,3.1,0,4500,0,0,0,9900,0,600,0,0,15000
650332.87,4765051.26,983.02,5,1.46,1.01,22.5,20.8,0,20400,0,0,0,39600,0,0,0,0,60000
650331.74,4765049.46,979.63,5,0.55,0.42,14.9,6.55,0,20400,0,0,0,39600,0,0,0,0,60000
650795.04,4766164.79,230.9,5,0.47,0.28,31.2,3,600,9000,0,0,0,20100,0,300,0,0,30000
650796.66,4766164.91,227.25,5,0.72,0.26,13.95,3.2,1500,15000,0,0,0,33500,0,0,0,0,50000
650852.42,4766170.07,105.52,5,0.69,0.49,89.1,8.7,1500,7500,0,0,0,20100,0,900,0,0,30000
650861.7,4766171.05,85.59,5,0.34,0.19,46.9,1.4,3000,6000,0,0,0,20100,0,900,0,0,30000
651013.83,4766186.78,-251.3,5,0.28,0.04,21.4,2.2,0,4500,0,0,0,10050,0,450,0,0,15000
651037.88,4766189.42,-306.21,5,0.48,0.06,67,4.9,0,6000,0,0,0,13400,0,600,0,0,20000
651102.11,4766195.78,-456.97,5,0.43,0.2,10,13.1,0,9000,0,0,0,20100,0,900,0,0,30000
651108.21,4766196.2,-471.75,5,0.47,0.16,29.9,9.9,0,18000,0,0,0,40200,0,1800,0,0,60000
650893.5,4766174.68,16.66,3,0.52,0.39,37.5,44,0,12000,0,0,0,28000,0,0,0,0,40000
650978.35,4766183.02,-170.86,5,0.58,0.09,83.4,3.5,0,6000,0,0,0,13600,0,400,0,0,20000
651002.55,4766185.68,-225.7,5,0.33,0.05,33.7,4,0,6000,0,0,0,13600,0,400,0,0,20000
650896,4766174.97,11.22,3,0.54,0.35,20.8,26.2,0,16000,0,0,0,24000,0,0,0,0,40000
650899.34,4766175.36,3.96,3,1.04,0.36,6.58,11.4,0,25000,0,0,0,22500,0,2500,0,0,50000
650901.02,4766175.55,0.33,3,0.49,0.29,10.95,70.2,0,12000,0,0,0,27200,0,800,0,0,40000
650901.85,4766175.65,-1.49,3,0.62,0.44,19.3,58.4,0,14800,0,0,0,24000,0,1200,0,0,40000
650903.52,4766175.84,-5.12,3,0.33,0.21,25.6,20.4,0,9000,0,0,0,21000,0,0,0,0,30000
650904.36,4766175.94,-6.93,3,0.35,0.08,9.93,11,0,7500,0,0,0,22500,0,0,0,0,30000
650905.19,4766176.03,-8.74,3,0.51,0.16,41.8,9.9,0,7500,0,0,0,22500,0,0,0,0,30000
651047.48,4766190.52,-328.18,5,0.15,0.03,3.93,3.1,0,4500,0,0,0,10200,0,300,0,0,15000
651061.82,4766192.12,-361.16,5,0.69,0.1,5.9,4.7,0,9000,0,0,0,20400,0,600,0,0,30000
651109.73,4766196.31,-475.45,5,0.22,0.09,6.47,12.9,0,15000,0,0,0,34000,0,1000,0,0,50000
651112,4766196.44,-481,5,0.44,0.4,30.6,23.6,0,18000,0,0,0,40800,0,1200,0,0,60000
650914.34,4766176.96,-28.73,3,0.56,3.57,105.5,27.4,0,16000,0,0,0,21200,0,2800,0,0,40000
650979.16,4766183.11,-172.69,5,0.56,0.16,40.4,9.8,0,9000,0,0,0,20700,0,300,0,0,30000
650982.39,4766183.48,-180,5,0.37,0.07,74.1,4.3,0,3000,0,0,0,6900,0,100,0,0,10000
651012.22,4766186.63,-247.65,5,0.29,0.08,100.5,4.9,0,6000,0,0,0,13800,0,200,0,0,20000
